"Var1","Freq"
"China",6442
"United-States",2584
"India",822
"Japan",596
"Germany",476
"United-Kingdom",408
"South-Korea",344
"Italy",328
"Iran",318
"Canada",251
"Russia",251
"France",220
"Saudi-Arabia",208
"Pakistan",198
"Unknown",189
"Spain",184
"Australia",163
"Egypt",150
"Turkey",117
"Taiwan",116
"Brazil",114
"Malaysia",110
"Sweden",110
"Netherlands",101
"Switzerland",91
"Poland",75
"Israel",58
"Singapore",56
"Czech-Republic",55
"Greece",55
"Romania",55
"Belgium",51
"Norway",46
"Denmark",45
"Finland",40
"Ireland",40
"Thailand",40
"Serbia",38
"Mexico",35
"South-Africa",33
"Portugal",32
"Tunisia",29
"Austria",28
"Hong-Kong",25
"Bangladesh",23
"Algeria",22
"Argentina",22
"Iraq",22
"Hungary",21
"Croatia",17
"Slovakia",17
"Chile",16
"Nigeria",15
"Colombia",14
"New-Zealand",14
"Indonesia",13
"United-Arab-Emirates",13
"Ethiopia",11
"Lebanon",11
"Oman",11
"Morocco",10
"Republic",10
"Vietnam",10
"Cameroon",8
"Congo",8
"Ghana",8
"Kenya",8
"Kuwait",8
"NA",8
"of",8
"the",8
"Cyprus",7
"Nepal",7
"Sudan",7
"Gabon",6
"Jordan",6
"Luxembourg",6
"Peru",6
"Philippines",6
"Qatar",6
"Democratic",5
"Honduras",5
"Slovenia",5
"Sri-Lanka",5
"Belarus",4
"Bulgaria",4
"Estonia",4
"Georgia",4
"Kazakhstan",4
"Libya",4
"Uganda",4
"(Congo-Brazzaville)",3
"Bahrain",3
"Bosnia-&-Herzegovina",3
"Iceland",3
"Malta",3
"Panama",3
"Ukraine",3
"(formerly",2
"Armenia",2
"Azerbaijan",2
"Bermuda",2
"Burma)",2
"Cambodia",2
"Grenada",2
"Island",2
"Lithuania",2
"Macau",2
"Madagascar",2
"Montenegro",2
"Myanmar",2
"Palestine",2
"R̩union",2
"Senegal",2
"Trinidad-&-Tobago",2
"African",1
"Albania",1
"Anguilla",1
"Belize",1
"Benin",1
"Botswana",1
"Burkina",1
"Cayman",1
"Central",1
"Chad",1
"Costa-Rica",1
"Dominican",1
"Faso",1
"French",1
"Gambia",1
"Gaza",1
"Guatemala",1
"Islands",1
"Jamaica",1
"Kosovo",1
"Laos",1
"Latvia",1
"Leone",1
"Mauritius",1
"Moldova",1
"Niger",1
"North-Korea",1
"Polynesia",1
"Puerto-Rico",1
"Rwanda",1
"Sierra",1
"Strip",1
"Swaziland/Eswatini",1
"Tajikistan",1
"Tanzania",1
"Uruguay",1
"Uzbekistan",1
"Venezuela",1
"Yemen",1
"Zimbabwe",1
