"","Var1","Freq"
"1","China",6442
"2","United-States",2584
"3","India",822
"4","Japan",596
"5","Germany",476
"6","United-Kingdom",408
"7","South-Korea",344
"8","Italy",328
"9","Iran",318
"10","Canada",251
"11","Russia",251
"12","France",220
"13","Saudi-Arabia",208
"14","Pakistan",198
"15","Unknown",189
"16","Spain",184
"17","Australia",163
"18","Egypt",150
"19","Turkey",117
"20","Taiwan",116
"21","Brazil",114
"22","Malaysia",110
"23","Sweden",110
"24","Netherlands",101
"25","Switzerland",91
"26","Poland",75
"27","Republic",65
"28","Israel",58
"29","Singapore",56
"30","Czech",55
"31","Greece",55
"32","Romania",55
"33","Belgium",51
"34","Norway",46
"35","Denmark",45
"36","Finland",40
"37","Ireland",40
"38","Thailand",40
"39","Serbia",38
"40","Mexico",35
"41","South-Africa",33
"42","Portugal",32
"43","Tunisia",29
"44","Austria",28
"45","Hong-Kong",25
"46","Bangladesh",23
"47","Algeria",22
"48","Argentina",22
"49","Iraq",22
"50","Hungary",21
"51","Croatia",17
"52","Slovakia",17
"53","Chile",16
"54","Nigeria",15
"55","Colombia",14
"56","New-Zealand",14
"57","Indonesia",13
"58","United-Arab-Emirates",13
"59","Ethiopia",11
"60","Lebanon",11
"61","Oman",11
"62","Morocco",10
"63","Vietnam",10
"64","Cameroon",8
"65","Congo",8
"66","Ghana",8
"67","Kenya",8
"68","Kuwait",8
"69","NA",8
"70","of",8
"71","the",8
"72","Cyprus",7
"73","Nepal",7
"74","Sudan",7
"75","Gabon",6
"76","Jordan",6
"77","Luxembourg",6
"78","Peru",6
"79","Philippines",6
"80","Qatar",6
"81","Democratic",5
"82","Honduras",5
"83","Slovenia",5
"84","Sri-Lanka",5
"85","Belarus",4
"86","Bulgaria",4
"87","Estonia",4
"88","Georgia",4
"89","Kazakhstan",4
"90","Libya",4
"91","Uganda",4
"92","(Congo-Brazzaville)",3
"93","Bahrain",3
"94","Bosnia-&-Herzegovina",3
"95","Iceland",3
"96","Malta",3
"97","Panama",3
"98","Ukraine",3
"99","(formerly",2
"100","Armenia",2
"101","Azerbaijan",2
"102","Bermuda",2
"103","Burma)",2
"104","Cambodia",2
"105","Grenada",2
"106","Island",2
"107","Lithuania",2
"108","Macau",2
"109","Madagascar",2
"110","Montenegro",2
"111","Myanmar",2
"112","Palestine",2
"113","R̩union",2
"114","Senegal",2
"115","Trinidad-&-Tobago",2
"116","African",1
"117","Albania",1
"118","Anguilla",1
"119","Belize",1
"120","Benin",1
"121","Botswana",1
"122","Burkina",1
"123","Cayman",1
"124","Central",1
"125","Chad",1
"126","Costa-Rica",1
"127","Dominican",1
"128","Faso",1
"129","French",1
"130","Gambia",1
"131","Gaza",1
"132","Guatemala",1
"133","Islands",1
"134","Jamaica",1
"135","Kosovo",1
"136","Laos",1
"137","Latvia",1
"138","Leone",1
"139","Mauritius",1
"140","Moldova",1
"141","Niger",1
"142","North-Korea",1
"143","Polynesia",1
"144","Puerto-Rico",1
"145","Rwanda",1
"146","Sierra",1
"147","Strip",1
"148","Swaziland/Eswatini",1
"149","Tajikistan",1
"150","Tanzania",1
"151","Uruguay",1
"152","Uzbekistan",1
"153","Venezuela",1
"154","Yemen",1
"155","Zimbabwe",1
